file_path,variates,indices,read_indices,window_sizes,sensor_timestamps,timestamps,embeddings_1,embeddings_2
generated_embeddings,['generated'],0,1,200,,1766149222.5279047,-4.264917850494385,5.006392955780029
generated_embeddings,['generated'],1,50,200,,1766149222.529853,-7.026721477508545,5.073069095611572
generated_embeddings,['generated'],2,100,200,,1766149222.5314155,1.4411457777023315,2.207289934158325
generated_embeddings,['generated'],3,150,200,,1766149222.532959,3.0368189811706543,3.9874227046966553
generated_embeddings,['generated'],4,200,200,,1766149222.5344896,-7.378081798553467,0.6962316632270813
generated_embeddings,['generated'],5,250,200,,1766149222.5360217,0.612908124923706,3.646008253097534
generated_embeddings,['generated'],6,300,200,,1766149222.5375504,-7.465826034545898,4.672569274902344
generated_embeddings,['generated'],7,350,200,,1766149222.5390422,-0.9298160672187805,4.850907802581787
generated_embeddings,['generated'],8,400,200,,1766149222.5405467,-2.408599615097046,2.6918227672576904
generated_embeddings,['generated'],9,450,200,,1766149222.5420597,-1.5119256973266602,-4.184278964996338
generated_embeddings,['generated'],10,500,200,,1766149222.5438602,-1.4998648166656494,1.512027621269226
generated_embeddings,['generated'],11,550,200,,1766149222.5454378,-1.5811705589294434,-1.5503257513046265
generated_embeddings,['generated'],12,600,200,,1766149222.5469103,-0.364311546087265,-0.29250064492225647
generated_embeddings,['generated'],13,650,200,,1766149222.5484564,-6.965754508972168,0.5354546904563904
generated_embeddings,['generated'],14,700,200,,1766149222.549931,-5.198845386505127,1.8451766967773438
generated_embeddings,['generated'],15,750,200,,1766149222.5514324,-2.2832343578338623,7.585117340087891
generated_embeddings,['generated'],16,800,200,,1766149222.5528893,3.638500690460205,5.14137601852417
generated_embeddings,['generated'],17,850,200,,1766149222.5543745,0.9260262250900269,6.648405075073242
generated_embeddings,['generated'],18,900,200,,1766149222.55585,-8.119987487792969,-0.10295911878347397
generated_embeddings,['generated'],19,950,200,,1766149222.5574868,-7.078490734100342,2.0733516216278076
generated_embeddings,['generated'],20,1000,200,,1766149222.5591319,-1.8562607765197754,-2.187143564224243
generated_embeddings,['generated'],21,1050,200,,1766149222.5607052,3.012232542037964,2.348400354385376
generated_embeddings,['generated'],22,1100,200,,1766149222.5621753,-0.7242431044578552,-2.2224466800689697
generated_embeddings,['generated'],23,1150,200,,1766149222.563713,-3.9314167499542236,-3.053118944168091
generated_embeddings,['generated'],24,1200,200,,1766149222.565205,-1.467191457748413,5.957578182220459
generated_embeddings,['generated'],25,1250,200,,1766149222.5668693,1.1312074661254883,1.0873385667800903
generated_embeddings,['generated'],26,1300,200,,1766149222.5686667,2.0910732746124268,3.9601945877075195
generated_embeddings,['generated'],27,1350,200,,1766149222.5703473,-3.0276665687561035,-1.3890628814697266
generated_embeddings,['generated'],28,1400,200,,1766149222.571948,-1.1647858619689941,3.6265182495117188
generated_embeddings,['generated'],29,1450,200,,1766149222.5734956,2.260096549987793,6.622683525085449
generated_embeddings,['generated'],30,1500,200,,1766149222.5749714,-1.4464548826217651,0.35110077261924744
generated_embeddings,['generated'],31,1550,200,,1766149222.6459424,-0.30969828367233276,-5.230212688446045
generated_embeddings,['generated'],32,1600,200,,1766149222.6485584,-1.1643826961517334,8.152813911437988
generated_embeddings,['generated'],33,1650,200,,1766149222.6511843,-8.0643310546875,2.013965606689453
generated_embeddings,['generated'],34,1700,200,,1766149222.6536982,2.844578504562378,-0.32172882556915283
generated_embeddings,['generated'],35,1750,200,,1766149222.655967,-2.65649676322937,-4.302304744720459
generated_embeddings,['generated'],36,1800,200,,1766149222.6577477,1.2002593278884888,-0.875177264213562
generated_embeddings,['generated'],37,1850,200,,1766149222.6600926,-5.551851749420166,-0.39295172691345215
generated_embeddings,['generated'],38,1900,200,,1766149222.6625884,-2.554903745651245,4.787562370300293
generated_embeddings,['generated'],39,1950,200,,1766149222.6651347,-0.3774823844432831,7.247701168060303
generated_embeddings,['generated'],40,2000,200,,1766149222.6669827,0.04732463136315346,2.124326229095459
