timestamp,accel_x,accel_y,accel_z,gyro_x
2025-12-18T11:59:19.026,0.1890,-0.4520,10.1160,0.0520
2025-12-18T11:59:19.385,0.1960,-0.2880,9.7190,0.0650
2025-12-18T11:59:19.745,0.1920,1.4160,9.4020,0.1080
2025-12-18T11:59:20.105,0.3840,-0.0390,10.5110,0.0730
2025-12-18T11:59:20.495,-0.3130,1.0760,9.7470,0.0920
2025-12-18T11:59:20.855,0.1100,-0.2560,10.1950,0.0630
2025-12-18T11:59:21.245,0.1380,1.1840,9.4520,0.0960
2025-12-18T11:59:21.605,0.5500,-0.8570,10.4170,0.0510
2025-12-18T11:59:21.964,0.3750,-2.0910,9.7140,0.0760
2025-12-18T11:59:22.325,-0.5450,0.0770,14.3010,0.2210
2025-12-18T11:59:22.685,-0.4010,-1.4970,9.9420,0.0310
2025-12-18T11:59:23.046,-0.6070,2.8970,11.1630,0.0210
2025-12-18T11:59:23.406,-0.0680,-3.0620,11.5280,0.1230
2025-12-18T11:59:23.765,0.3030,-1.1480,10.2460,0.0140
2025-12-18T11:59:24.124,1.2820,-5.6660,10.4560,0.0870
2025-12-18T11:59:24.485,-2.6880,-1.5620,13.4540,0.2940
2025-12-18T11:59:24.845,0.4540,2.6020,10.2280,-0.0360
2025-12-18T11:59:25.234,2.6200,-3.8350,18.6830,-0.0370
2025-12-18T11:59:25.594,3.9580,-5.5560,14.2030,-0.0420
2025-12-18T11:59:25.954,-0.3570,3.5960,9.4070,0.1220
2025-12-18T11:59:26.315,0.0250,-1.2590,9.2540,0.1390
2025-12-18T11:59:26.675,0.2890,-1.5450,11.1560,0.1530
2025-12-18T11:59:27.034,1.2520,5.0750,8.4700,0.0280
2025-12-18T11:59:27.395,-1.4140,4.6280,6.8410,0.4220
2025-12-18T11:59:27.754,-1.9030,1.2000,3.2110,0.3090
2025-12-18T11:59:28.115,-2.0360,-1.5030,12.7090,-0.0010
2025-12-18T11:59:28.474,-0.8450,0.4580,6.9350,-0.0020
2025-12-18T11:59:28.835,0.6430,-4.1260,10.0840,0.0400
2025-12-18T11:59:29.195,1.8960,-1.9580,8.8740,-0.0580
2025-12-18T11:59:29.554,-1.8360,5.4370,8.0940,0.2280
2025-12-18T11:59:29.916,-0.3870,1.3590,10.2950,0.1140
2025-12-18T11:59:30.275,-3.8030,4.2280,2.6830,0.2410
2025-12-18T11:59:30.636,0.6420,1.0430,8.2390,0.0420
2025-12-18T11:59:30.994,-0.2140,-2.8540,7.2860,0.0240
2025-12-18T11:59:31.385,-1.0420,0.7680,9.9050,0.1670
2025-12-18T11:59:31.746,0.0050,-2.0170,10.5880,0.0720
2025-12-18T11:59:32.106,-0.5990,-0.8470,7.2530,-0.0500
2025-12-18T11:59:32.495,-0.5810,-3.4210,9.4760,0.0530
2025-12-18T11:59:32.884,1.2100,5.2390,8.6950,0.1440
2025-12-18T11:59:33.245,2.1570,2.1650,9.6940,-0.1220
2025-12-18T11:59:33.636,-0.0390,4.0340,9.9600,0.1300
2025-12-18T11:59:33.995,1.0880,-2.3770,11.6230,0.0320
2025-12-18T11:59:34.355,0.9460,-3.3420,8.0590,0.0290
2025-12-18T11:59:34.745,1.3130,-6.7080,12.3780,-0.0010
2025-12-18T11:59:35.105,-0.3730,1.2110,5.0210,0.1350
2025-12-18T11:59:35.465,0.2470,0.7230,10.8070,0.1340
2025-12-18T11:59:35.855,-0.6580,0.2040,11.3760,0.0950
2025-12-18T11:59:36.215,-0.7350,-0.4350,9.5600,0.1220
2025-12-18T11:59:36.575,-0.8670,-1.8350,14.4140,-0.1740
2025-12-18T11:59:36.965,-0.3720,-6.5680,18.5880,-0.3050
2025-12-18T11:59:37.325,-2.2520,-8.8900,17.1430,-0.3110
2025-12-18T11:59:37.684,2.7120,3.1940,5.1660,0.0470
2025-12-18T11:59:38.074,-3.5780,-3.2990,18.1620,-0.3760
2025-12-18T11:59:38.436,3.5910,4.4790,1.2950,0.4200
2025-12-18T11:59:38.854,4.0650,4.7110,1.6420,0.0870
2025-12-18T11:59:39.245,-2.9510,-0.1110,5.5350,-0.2120
2025-12-18T11:59:39.605,-1.8750,1.2880,9.2180,-0.1850
2025-12-18T11:59:39.995,2.4030,6.9100,4.1760,0.3790
